         963172 function calls (949932 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      437    0.000    0.000    0.011    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1536(number_of_parameters)
      954    0.000    0.000    0.009    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1542(is_alias)
      438    0.000    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\colors.py:268(to_rgba)
      703    0.000    0.000    0.021    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:3067(from_callable)
      219    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      461    0.000    0.000    0.003    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:522(copy)
        2    0.000    0.000    0.118    0.059 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\style\core.py:206(read_style_directory)
       18    0.000    0.000    0.007    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\rcsetup.py:799(validate_cycler)
      153    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       30    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\numpy\core\function_base.py:24(linspace)
      161    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      104    0.000    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\dtypes\common.py:1596(pandas_dtype)
     4773    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     1221    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:293(tell)
      459    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      174    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      409    0.000    0.000    0.003    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\rcsetup.py:307(validate_color)
      461    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\copy.py:247(_reconstruct)
       12    0.000    0.000    0.020    0.002 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_docstring.py:51(__missing__)
      160    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     2434    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      111    0.000    0.000    0.003    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\rcsetup.py:88(f)
     1289    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\__init__.py:683(_set)
      527    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:772(__delattr__)
     2023    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:164(__len__)
        2    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\unicode.py:55(_chars_for_ranges)
      590    0.000    0.000    0.209    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       15    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1641(_fill_cache)
      349    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      456    0.000    0.000    0.000    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:837(__setattr__)
        2    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
     1799    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:371(isfunction)
      822    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
     1098    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      445    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
     2151    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:256(match)
     1180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2244    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      502    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\typing.py:1169(__setattr__)
   256/18    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\ast.py:409(generic_visit)
      257    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\font_manager.py:928(_json_decode)
        1    0.000    0.000    0.001    0.001 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:343(raw_decode)
      306    0.000    0.000    0.000    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\results.py:148(__new__)
       29    0.000    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\pathlib.py:200(_select_from)
        6    0.000    0.000    0.000    0.000 {method 'ping' of '_mysql_connector.MySQL' objects}
       22    0.000    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\blocks.py:1935(delete)
      159    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       25    0.000    0.000    0.015    0.001 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandastable\data.py:148(getlongestEntry)
      461    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
